Categorias,Linea,Sublinea,Nombre,Precio1,Precio2,Medidas,Estructura,Espuma,Tela,Origen,Certifications,Tiempo de entrega,Materiales,Img_url,Product_url
Salas ,Salas ,Salas en L,Modular Con Puff Antonella,4436000,5109000,,21 días hábiles,Espuma industrializada de alta densidad.,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,,,https://aristas.co/wp-content/uploads/2023/08/1-Modular-Puff-Antonella-9.jpg,https://aristas.co/producto/modular-con-puff-antonella/
Salas ,Salas ,Salas en L,Sala En L Modular Antonella,3637000,4229000,,,Espuma industrializada de alta densidad y resiliencia,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/1-Sala-En-L-Modular-Antonella.jpg,https://aristas.co/producto/sala-en-l-modular-antonella/
Salas ,Salas ,Salas en L,Sala En L Modular Venetto,4651000,4749000,,,Espuma industrializada de alta densidad y resiliencia,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/4600.jpg,https://aristas.co/producto/sala-en-l-modular-venetto/
Salas ,Salas ,Salas en L,Sala En L Sofá Cama Multifuncional Napoli Plumas,5068000,6160000,,,"Espuma industrializada de alta densidad > Pluma de pato de 2 a 4 cms, certificación de pluma proveniente de un área no epizoótica.",Telas de alta resistencia al desgaste.,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/Sala-en-L-multifuncional-napoli-plumas.jpg,https://aristas.co/producto/sala-en-l-sofa-cama-multifuncional-napoli-plumas/
Salas ,Salas ,Salas en L,Sala En L Sofá Cama Multifuncional Brooklyn,6400000,7416000,,,"Espuma industrializada de alta densidad y resiliencia – Pluma de pato de 2 a 4 cms, certificación de pluma proveniente de un área no epizoótica.",Telas de alta resistencia al desgaste.,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/1.SALA-EN-L-SOFA-CAMA-MULTIFUNCIONAL-BROOKLIN.jpg,https://aristas.co/producto/sala-en-l-sofa-cama-multifuncional-brooklin/
Salas ,Salas ,Salas en L,Sala En L Sofá Cama Multifuncional Napoli,4978823,5610000,,21 días hábiles,"Espuma industrializada de alta densidad > Pluma de pato de 2 a 4 cms, certificación de pluma proveniente de un área no epizoótica.",Telas de alta resistencia al desgaste.,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1-4343.jpg,https://aristas.co/producto/sala-en-l-sofacama-multifuncional-napoli/
Salas ,Salas ,Salas en L,Sala en L Modular Emma Esquinero,7928470,8982001,,Patas taco con acabo en pintura color ceniza,Espuma industrializada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/06/lado.jpg,https://aristas.co/producto/sala-en-l-modular-emma-esquinero/
Salas ,Salas ,Sofá camas,Sofá Cama Boston,2627765,2966000,,"Patas metálicas, pintada en negro mate.",Resorte Nosag e hilo PP. Espuma industrializada flexible de poliuretano de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/sofa-cama-parte-delantera-estirada.jpg,https://aristas.co/producto/sofacama-boston/
Salas ,Salas ,Sofá camas,Sofá Cama Cronos 3 Posiciones,2449000,2708000,,21 días hábiles,Espuma industrializada de alta densidad > Resortes Encapsulados independientes en el asiento.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1-Sofa-Cama-Cronos-3-Posiciones-_-Cuarzo.jpg,https://aristas.co/producto/sofacama-cronos-3-posiciones/
Salas ,Salas ,Sofá camas,Sofá Cama Julieta,2852000,3199000,,,Espuma industrializada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/09/sofa-cama-julietha-frente.jpg,https://aristas.co/producto/sofa-cama-julieta/
Salas ,Salas ,Sofá camas,Sofá Cama Napoli,3315000,3655000,,21 días hábiles,Espuma industrializada de alta densidad,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1-4520.jpg,https://aristas.co/producto/sofacama-napoli/
Salas ,Salas ,Sofá camas,Sofá Cama Brooklin,4549000,5067000,,21 días hábiles,"Espuma industrializada de alta densidad y resiliencia > Resortes Encapsulados independientes en el asiento > Pluma de pato de 2 a 4 cms, certificación de pluma proveniente de un área no epizoótica.",Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1-Sofa-Cama-Brooklin-_-Cuarzo.jpg,https://aristas.co/producto/sofacama-brooklin/
Salas ,Salas ,Sofá camas,Sofá Cama Piccolo,3002000,3317000,,21 días hábiles,Espuma industrializada de alta densidad,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/Sofa-cama-piccolo-frente.jpg,https://aristas.co/producto/sofacama-piccolo/
Salas ,Salas ,Sofá camas,Sofá Cama Cronos 6 Posiciones,2949000,3264000,,,Espuma industrializada de alta densidad > Resortes Encapsulados independientes en el asiento.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2020/07/34-cabecero-levantado.jpg,https://aristas.co/producto/sofacama-cronos-6-posiciones/
Salas ,Salas ,Sofá camas,Sala En L Sofá Cama Multifuncional Napoli Plumas,5068000,6160000,,,"Espuma industrializada de alta densidad > Pluma de pato de 2 a 4 cms, certificación de pluma proveniente de un área no epizoótica.",Telas de alta resistencia al desgaste.,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/Sala-en-L-multifuncional-napoli-plumas.jpg,https://aristas.co/producto/sala-en-l-sofa-cama-multifuncional-napoli-plumas/
